date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:47	66840/66840	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:28%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/gallery/18.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/gallery/18.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/gallery.html)
12:38:49	17630/17630	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:31%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/feedback/5.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/feedback/5.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/feedback.html)
12:38:57	224008/224008	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:27%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/gallery/17.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/gallery/17.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/gallery.html)
12:39:04	101310/101310	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:36%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/m1.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/m1.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/services-post.html)
12:39:07	110614/110614	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:36%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/m2.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/m2.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/services-post.html)
12:39:07	130765/130765	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:32%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/blog/03.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/blog/03.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/blog.html)
12:39:19	134535/134535	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:35%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/m3.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/m3.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/services-post.html)
12:39:20	102263/102263	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:36%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/m4.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/m4.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/services-post.html)
12:39:21	90465/90465	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:36%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/services/m5.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/services/m5.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/services-post.html)
12:39:28	124269/124269	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:38:39%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/banner.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/banner.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:39:33	91280/91280	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:29%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/gallery/6.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/gallery/6.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:39:34	87913/87913	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:28%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/gallery/4.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/gallery/4.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:39:36	234269/234269	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Apr%202021%2019:39:01%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/fonts/themify.svg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/fonts/themify.svg	(from http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css)
